Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_BSW-102-04-G-S,J,BSW-102-04-G-S,connector_footprints:BSW-102-04-G-S,https://suddendocs.samtec.com/catalog_english/bsw.pdf?_gl=1*kyaku3*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTExMjA4Ni40Ni4xLjE3NDExMTMwODkuNjAuMC4w,"Samtec BSW-1xx-04-G-S series,  2 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BSW-102-04-G-S,BSW-1xx-04-G-S,https://www.trustedparts.com/en/search/BSW-102-04-G-S,Black,2.54,2,Vertical,5.2,300,Through Hole,Tin,1
J_BSW-103-04-G-S,J,BSW-103-04-G-S,connector_footprints:BSW-103-04-G-S,https://suddendocs.samtec.com/catalog_english/bsw.pdf?_gl=1*kyaku3*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTExMjA4Ni40Ni4xLjE3NDExMTMwODkuNjAuMC4w,"Samtec BSW-1xx-04-G-S series,  3 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BSW-103-04-G-S,BSW-1xx-04-G-S,https://www.trustedparts.com/en/search/BSW-103-04-G-S,Black,2.54,3,Vertical,5.2,300,Through Hole,Tin,1
J_BSW-104-04-G-S,J,BSW-104-04-G-S,connector_footprints:BSW-104-04-G-S,https://suddendocs.samtec.com/catalog_english/bsw.pdf?_gl=1*kyaku3*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTExMjA4Ni40Ni4xLjE3NDExMTMwODkuNjAuMC4w,"Samtec BSW-1xx-04-G-S series,  4 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BSW-104-04-G-S,BSW-1xx-04-G-S,https://www.trustedparts.com/en/search/BSW-104-04-G-S,Black,2.54,4,Vertical,5.2,300,Through Hole,Tin,1
J_BSW-105-04-G-S,J,BSW-105-04-G-S,connector_footprints:BSW-105-04-G-S,https://suddendocs.samtec.com/catalog_english/bsw.pdf?_gl=1*kyaku3*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTExMjA4Ni40Ni4xLjE3NDExMTMwODkuNjAuMC4w,"Samtec BSW-1xx-04-G-S series,  5 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BSW-105-04-G-S,BSW-1xx-04-G-S,https://www.trustedparts.com/en/search/BSW-105-04-G-S,Black,2.54,5,Vertical,5.2,300,Through Hole,Tin,1
J_BSW-106-04-G-S,J,BSW-106-04-G-S,connector_footprints:BSW-106-04-G-S,https://suddendocs.samtec.com/catalog_english/bsw.pdf?_gl=1*kyaku3*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTExMjA4Ni40Ni4xLjE3NDExMTMwODkuNjAuMC4w,"Samtec BSW-1xx-04-G-S series,  6 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BSW-106-04-G-S,BSW-1xx-04-G-S,https://www.trustedparts.com/en/search/BSW-106-04-G-S,Black,2.54,6,Vertical,5.2,300,Through Hole,Tin,1
J_BSW-107-04-G-S,J,BSW-107-04-G-S,connector_footprints:BSW-107-04-G-S,https://suddendocs.samtec.com/catalog_english/bsw.pdf?_gl=1*kyaku3*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTExMjA4Ni40Ni4xLjE3NDExMTMwODkuNjAuMC4w,"Samtec BSW-1xx-04-G-S series,  7 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BSW-107-04-G-S,BSW-1xx-04-G-S,https://www.trustedparts.com/en/search/BSW-107-04-G-S,Black,2.54,7,Vertical,5.2,300,Through Hole,Tin,1
J_BSW-108-04-G-S,J,BSW-108-04-G-S,connector_footprints:BSW-108-04-G-S,https://suddendocs.samtec.com/catalog_english/bsw.pdf?_gl=1*kyaku3*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTExMjA4Ni40Ni4xLjE3NDExMTMwODkuNjAuMC4w,"Samtec BSW-1xx-04-G-S series,  8 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BSW-108-04-G-S,BSW-1xx-04-G-S,https://www.trustedparts.com/en/search/BSW-108-04-G-S,Black,2.54,8,Vertical,5.2,300,Through Hole,Tin,1
J_BSW-109-04-G-S,J,BSW-109-04-G-S,connector_footprints:BSW-109-04-G-S,https://suddendocs.samtec.com/catalog_english/bsw.pdf?_gl=1*kyaku3*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTExMjA4Ni40Ni4xLjE3NDExMTMwODkuNjAuMC4w,"Samtec BSW-1xx-04-G-S series,  9 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BSW-109-04-G-S,BSW-1xx-04-G-S,https://www.trustedparts.com/en/search/BSW-109-04-G-S,Black,2.54,9,Vertical,5.2,300,Through Hole,Tin,1
J_BSW-110-04-G-S,J,BSW-110-04-G-S,connector_footprints:BSW-110-04-G-S,https://suddendocs.samtec.com/catalog_english/bsw.pdf?_gl=1*kyaku3*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTExMjA4Ni40Ni4xLjE3NDExMTMwODkuNjAuMC4w,"Samtec BSW-1xx-04-G-S series,  10 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BSW-110-04-G-S,BSW-1xx-04-G-S,https://www.trustedparts.com/en/search/BSW-110-04-G-S,Black,2.54,10,Vertical,5.2,300,Through Hole,Tin,1
J_BSW-111-04-G-S,J,BSW-111-04-G-S,connector_footprints:BSW-111-04-G-S,https://suddendocs.samtec.com/catalog_english/bsw.pdf?_gl=1*kyaku3*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTExMjA4Ni40Ni4xLjE3NDExMTMwODkuNjAuMC4w,"Samtec BSW-1xx-04-G-S series,  11 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BSW-111-04-G-S,BSW-1xx-04-G-S,https://www.trustedparts.com/en/search/BSW-111-04-G-S,Black,2.54,11,Vertical,5.2,300,Through Hole,Tin,1
J_BSW-112-04-G-S,J,BSW-112-04-G-S,connector_footprints:BSW-112-04-G-S,https://suddendocs.samtec.com/catalog_english/bsw.pdf?_gl=1*kyaku3*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTExMjA4Ni40Ni4xLjE3NDExMTMwODkuNjAuMC4w,"Samtec BSW-1xx-04-G-S series,  12 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BSW-112-04-G-S,BSW-1xx-04-G-S,https://www.trustedparts.com/en/search/BSW-112-04-G-S,Black,2.54,12,Vertical,5.2,300,Through Hole,Tin,1
J_BSW-113-04-G-S,J,BSW-113-04-G-S,connector_footprints:BSW-113-04-G-S,https://suddendocs.samtec.com/catalog_english/bsw.pdf?_gl=1*kyaku3*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTExMjA4Ni40Ni4xLjE3NDExMTMwODkuNjAuMC4w,"Samtec BSW-1xx-04-G-S series,  13 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BSW-113-04-G-S,BSW-1xx-04-G-S,https://www.trustedparts.com/en/search/BSW-113-04-G-S,Black,2.54,13,Vertical,5.2,300,Through Hole,Tin,1
J_BSW-114-04-G-S,J,BSW-114-04-G-S,connector_footprints:BSW-114-04-G-S,https://suddendocs.samtec.com/catalog_english/bsw.pdf?_gl=1*kyaku3*_gcl_aw*R0NMLjE3Mzk2ODk4NTMuQ2p3S0NBaUFrOEc5QmhBMEVpd0FPUXhtZnBxNGtid2RzbUtZdVAxNHNtU0RyMV9EYlVGX20zcWFYTlVYU2w2UG00UVlkbEJkTWNnblpSb0NWcXdRQXZEX0J3RQ..*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTc0MTExMjA4Ni40Ni4xLjE3NDExMTMwODkuNjAuMC4w,"Samtec BSW-1xx-04-G-S series,  14 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Tin plated",Samtec,BSW-114-04-G-S,BSW-1xx-04-G-S,https://www.trustedparts.com/en/search/BSW-114-04-G-S,Black,2.54,14,Vertical,5.2,300,Through Hole,Tin,1
