Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_TSM-102-01-S-SV-P-TR,J,TSM-102-01-S-SV-P-TR,connector_footprints:TSM-102-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  2 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-102-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-102-01-S-SV-P-TR,Black,2.54,2,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-103-01-S-SV-P-TR,J,TSM-103-01-S-SV-P-TR,connector_footprints:TSM-103-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  3 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-103-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-103-01-S-SV-P-TR,Black,2.54,3,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-104-01-S-SV-P-TR,J,TSM-104-01-S-SV-P-TR,connector_footprints:TSM-104-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  4 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-104-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-104-01-S-SV-P-TR,Black,2.54,4,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-105-01-S-SV-P-TR,J,TSM-105-01-S-SV-P-TR,connector_footprints:TSM-105-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  5 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-105-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-105-01-S-SV-P-TR,Black,2.54,5,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-106-01-S-SV-P-TR,J,TSM-106-01-S-SV-P-TR,connector_footprints:TSM-106-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  6 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-106-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-106-01-S-SV-P-TR,Black,2.54,6,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-107-01-S-SV-P-TR,J,TSM-107-01-S-SV-P-TR,connector_footprints:TSM-107-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  7 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-107-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-107-01-S-SV-P-TR,Black,2.54,7,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-108-01-S-SV-P-TR,J,TSM-108-01-S-SV-P-TR,connector_footprints:TSM-108-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  8 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-108-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-108-01-S-SV-P-TR,Black,2.54,8,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-109-01-S-SV-P-TR,J,TSM-109-01-S-SV-P-TR,connector_footprints:TSM-109-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  9 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-109-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-109-01-S-SV-P-TR,Black,2.54,9,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-110-01-S-SV-P-TR,J,TSM-110-01-S-SV-P-TR,connector_footprints:TSM-110-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  10 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-110-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-110-01-S-SV-P-TR,Black,2.54,10,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-111-01-S-SV-P-TR,J,TSM-111-01-S-SV-P-TR,connector_footprints:TSM-111-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  11 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-111-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-111-01-S-SV-P-TR,Black,2.54,11,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-112-01-S-SV-P-TR,J,TSM-112-01-S-SV-P-TR,connector_footprints:TSM-112-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  12 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-112-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-112-01-S-SV-P-TR,Black,2.54,12,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-113-01-S-SV-P-TR,J,TSM-113-01-S-SV-P-TR,connector_footprints:TSM-113-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  13 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-113-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-113-01-S-SV-P-TR,Black,2.54,13,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-114-01-S-SV-P-TR,J,TSM-114-01-S-SV-P-TR,connector_footprints:TSM-114-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  14 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-114-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-114-01-S-SV-P-TR,Black,2.54,14,Vertical,5.2,300,Surface Mount,Tin,1
J_TSM-115-01-S-SV-P-TR,J,TSM-115-01-S-SV-P-TR,connector_footprints:TSM-115-01-S-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf?_gl=1*1eihxyt*_gcl_au*MTM0MTYyNTQ5MS4xNzM2MDk5MTUz*_ga*MTYxNDYyMTQ0Mi4xNzM2MDk5MTUz*_ga_3KFNZC07WW*MTczNjc2MTAxMy4xOS4xLjE3MzY3NjE0NjIuMjIuMC4w,"Samtec TSM-1xx-01-S-SV-P-TR series,  15 positions connector,  2.54 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Surface Mount,  Tin plated",Samtec,TSM-115-01-S-SV-P-TR,TSM-1xx-01-S-SV-P-TR,https://www.trustedparts.com/en/search/TSM-115-01-S-SV-P-TR,Black,2.54,15,Vertical,5.2,300,Surface Mount,Tin,1
