Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_XFL2006-102ME,L,1 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 1 µH ±20%,Coilcraft,XFL2006-102ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-102ME,1.2,0.169
L_XFL2006-222ME,L,2.2 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 2.2 µH ±20%,Coilcraft,XFL2006-222ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-222ME,0.9,0.306
L_XFL2006-332ME,L,3.3 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 3.3 µH ±20%,Coilcraft,XFL2006-332ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-332ME,0.7,0.506
L_XFL2006-472ME,L,4.7 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 4.7 µH ±20%,Coilcraft,XFL2006-472ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-472ME,0.7,0.732
L_XFL2006-562ME,L,5.6 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 5.6 µH ±20%,Coilcraft,XFL2006-562ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-562ME,0.6,0.825
L_XFL2006-682ME,L,6.8 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 6.8 µH ±20%,Coilcraft,XFL2006-682ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-682ME,0.5,1.020
L_XFL2006-822ME,L,8.2 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 8.2 µH ±20%,Coilcraft,XFL2006-822ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-822ME,0.5,1.190
L_XFL2006-103ME,L,10 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 10 µH ±20%,Coilcraft,XFL2006-103ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-103ME,0.4,1.400
L_XFL2006-153ME,L,15 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 15 µH ±20%,Coilcraft,XFL2006-153ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-153ME,0.3,2.220
L_XFL2006-223ME,L,22 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 22 µH ±20%,Coilcraft,XFL2006-223ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-223ME,0.3,3.060
L_XFL2006-333ME,L,33 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 33 µH ±20%,Coilcraft,XFL2006-333ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-333ME,0.2,4.900
L_XFL2006-473ME,L,47 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 47 µH ±20%,Coilcraft,XFL2006-473ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-473ME,0.2,5.160
L_XFL2006-563ME,L,56 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 56 µH ±20%,Coilcraft,XFL2006-563ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-563ME,0.2,7.320
L_XFL2006-683ME,L,68 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 68 µH ±20%,Coilcraft,XFL2006-683ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-683ME,0.2,9.350
L_XFL2006-823ME,L,82 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 82 µH ±20%,Coilcraft,XFL2006-823ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-823ME,0.2,10.180
L_XFL2006-104ME,L,100 µH,inductor_footprints:XFL2006,https://www.coilcraft.com/getmedia/65419ba7-9eac-409b-830a-74bf182a8aca/xfl2006.pdf,INDUCTOR SMD 100 µH ±20%,Coilcraft,XFL2006-104ME,±20%,XFL2006,https://www.trustedparts.com/en/search/XFL2006-104ME,0.1,12.250
