Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Color,Pitch (mm),Pin Count,Mounting Angle,Current Rating (A),Voltage Rating (V),Mounting Style,Contact Plating,Number of Rows
J_FW-02-04-G-D-370-160,J,FW-02-04-G-D-370-160,connector_footprints:FW-02-04-G-D-370-160,https://suddendocs.samtec.com/catalog_english/fw_th.pdf?_gl=1*13f8b1s*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTc1MTM2MzIkbzUkZzEkdDE3NTc1MTczNTEkajE2JGwwJGgw,"Samtec FW-xx-04-G-D-370-160 series,  2 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,FW-02-04-G-D-370-160,FW-xx-04-G-D-370-160,https://www.trustedparts.com/en/search/FW-02-04-G-D-370-160,Black,1.27,2,Vertical,5.2,300,Through Hole,Gold,2
J_FW-03-04-G-D-370-160,J,FW-03-04-G-D-370-160,connector_footprints:FW-03-04-G-D-370-160,https://suddendocs.samtec.com/catalog_english/fw_th.pdf?_gl=1*13f8b1s*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTc1MTM2MzIkbzUkZzEkdDE3NTc1MTczNTEkajE2JGwwJGgw,"Samtec FW-xx-04-G-D-370-160 series,  3 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,FW-03-04-G-D-370-160,FW-xx-04-G-D-370-160,https://www.trustedparts.com/en/search/FW-03-04-G-D-370-160,Black,1.27,3,Vertical,5.2,300,Through Hole,Gold,2
J_FW-04-04-G-D-370-160,J,FW-04-04-G-D-370-160,connector_footprints:FW-04-04-G-D-370-160,https://suddendocs.samtec.com/catalog_english/fw_th.pdf?_gl=1*13f8b1s*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTc1MTM2MzIkbzUkZzEkdDE3NTc1MTczNTEkajE2JGwwJGgw,"Samtec FW-xx-04-G-D-370-160 series,  4 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,FW-04-04-G-D-370-160,FW-xx-04-G-D-370-160,https://www.trustedparts.com/en/search/FW-04-04-G-D-370-160,Black,1.27,4,Vertical,5.2,300,Through Hole,Gold,2
J_FW-05-04-G-D-370-160,J,FW-05-04-G-D-370-160,connector_footprints:FW-05-04-G-D-370-160,https://suddendocs.samtec.com/catalog_english/fw_th.pdf?_gl=1*13f8b1s*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTc1MTM2MzIkbzUkZzEkdDE3NTc1MTczNTEkajE2JGwwJGgw,"Samtec FW-xx-04-G-D-370-160 series,  5 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,FW-05-04-G-D-370-160,FW-xx-04-G-D-370-160,https://www.trustedparts.com/en/search/FW-05-04-G-D-370-160,Black,1.27,5,Vertical,5.2,300,Through Hole,Gold,2
J_FW-06-04-G-D-370-160,J,FW-06-04-G-D-370-160,connector_footprints:FW-06-04-G-D-370-160,https://suddendocs.samtec.com/catalog_english/fw_th.pdf?_gl=1*13f8b1s*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTc1MTM2MzIkbzUkZzEkdDE3NTc1MTczNTEkajE2JGwwJGgw,"Samtec FW-xx-04-G-D-370-160 series,  6 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,FW-06-04-G-D-370-160,FW-xx-04-G-D-370-160,https://www.trustedparts.com/en/search/FW-06-04-G-D-370-160,Black,1.27,6,Vertical,5.2,300,Through Hole,Gold,2
J_FW-07-04-G-D-370-160,J,FW-07-04-G-D-370-160,connector_footprints:FW-07-04-G-D-370-160,https://suddendocs.samtec.com/catalog_english/fw_th.pdf?_gl=1*13f8b1s*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTc1MTM2MzIkbzUkZzEkdDE3NTc1MTczNTEkajE2JGwwJGgw,"Samtec FW-xx-04-G-D-370-160 series,  7 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,FW-07-04-G-D-370-160,FW-xx-04-G-D-370-160,https://www.trustedparts.com/en/search/FW-07-04-G-D-370-160,Black,1.27,7,Vertical,5.2,300,Through Hole,Gold,2
J_FW-08-04-G-D-370-160,J,FW-08-04-G-D-370-160,connector_footprints:FW-08-04-G-D-370-160,https://suddendocs.samtec.com/catalog_english/fw_th.pdf?_gl=1*13f8b1s*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTc1MTM2MzIkbzUkZzEkdDE3NTc1MTczNTEkajE2JGwwJGgw,"Samtec FW-xx-04-G-D-370-160 series,  8 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,FW-08-04-G-D-370-160,FW-xx-04-G-D-370-160,https://www.trustedparts.com/en/search/FW-08-04-G-D-370-160,Black,1.27,8,Vertical,5.2,300,Through Hole,Gold,2
J_FW-09-04-G-D-370-160,J,FW-09-04-G-D-370-160,connector_footprints:FW-09-04-G-D-370-160,https://suddendocs.samtec.com/catalog_english/fw_th.pdf?_gl=1*13f8b1s*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTc1MTM2MzIkbzUkZzEkdDE3NTc1MTczNTEkajE2JGwwJGgw,"Samtec FW-xx-04-G-D-370-160 series,  9 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,FW-09-04-G-D-370-160,FW-xx-04-G-D-370-160,https://www.trustedparts.com/en/search/FW-09-04-G-D-370-160,Black,1.27,9,Vertical,5.2,300,Through Hole,Gold,2
J_FW-10-04-G-D-370-160,J,FW-10-04-G-D-370-160,connector_footprints:FW-10-04-G-D-370-160,https://suddendocs.samtec.com/catalog_english/fw_th.pdf?_gl=1*13f8b1s*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTc1MTM2MzIkbzUkZzEkdDE3NTc1MTczNTEkajE2JGwwJGgw,"Samtec FW-xx-04-G-D-370-160 series,  10 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,FW-10-04-G-D-370-160,FW-xx-04-G-D-370-160,https://www.trustedparts.com/en/search/FW-10-04-G-D-370-160,Black,1.27,10,Vertical,5.2,300,Through Hole,Gold,2
J_FW-11-04-G-D-370-160,J,FW-11-04-G-D-370-160,connector_footprints:FW-11-04-G-D-370-160,https://suddendocs.samtec.com/catalog_english/fw_th.pdf?_gl=1*13f8b1s*_gcl_au*OTQ3NjE2MTIwLjE3NTQ5MDMyODE.*_ga*NzIxODQzNjU3LjE3NTQ5MDMyODI.*_ga_3KFNZC07WW*czE3NTc1MTM2MzIkbzUkZzEkdDE3NTc1MTczNTEkajE2JGwwJGgw,"Samtec FW-xx-04-G-D-370-160 series,  11 positions connector,  1.27 mm pitch,  Black,  Vertical mounting,  5.2 A,  300 V,  Through Hole,  Gold plated",Samtec,FW-11-04-G-D-370-160,FW-xx-04-G-D-370-160,https://www.trustedparts.com/en/search/FW-11-04-G-D-370-160,Black,1.27,11,Vertical,5.2,300,Through Hole,Gold,2
